Jonathan	jonathan	true	35
Jonathan1	jonathan1	true	40
Vampire Jonathan	vampire-jonathan	true	40
Dio Brando	dio-brando	true	31
boxingDio	boxingdio	true	25
Anthonio Zeppeli	anthonio-zeppeli	true	17
Joseph	joseph	true	35
Joseph Joestar	joseph-joestar	true	35
Joseph4	joseph4	true	33
Joseph 5	joseph-5	true	34
Caesar_Zeppeli	caesar-zeppeli	true	41
Stroheim	stroheim	true	35
LisaLisa	lisalisa	true	24
Ultimate Kars	ultimate-kars	true	27
Jotaro Kujo	jotaro-kujo	true	36
Jotaro	jotaro	true	31
JotaroK	jotarok	true	41
JotaroK 3	jotarok-3	true	43
Jotaro-SPR	jotaro-spr	true	38
Jotaro Over Heaven	jotaro-over-heaven	true	43
Kakyoin	kakyoin	true	35
Kakyoin 2	kakyoin-2	true	32
Avdol	avdol	true	25
Polnareff	polnareff	true	34
Polnareff 1	polnareff-1	true	28
Old_Joseph	old-joseph	true	38
Iggy	iggy	true	36
Shadow Dio	shadow-dio	true	29
Dio	dio	true	30
DIO_K	dio-k	true	42
DIO_K 2.4	dio-k-2-4	true	42
High_DIO	high-dio	true	34
Demon Lord Dio	demon-lord-dio	true	42
Over Heaven DIO by QINYAN	over-heaven-dio-by-qinyan	true	41
Hol Horse	hol-horse	true	39
Vanilla Ice	vanilla-ice	true	27
JotaroPart4	jotaropart4	true	37
Jotaro Kujo(DIUAnimeSuit 1)	jotaro-kujo-diuanimesuit-1	true	36
Hamon Josuke	hamon-josuke	true	40
Josuke 3	josuke-3	true	32
Josuke 5	josuke-5	true	42
Okuyasu	okuyasu	true	37
Rohan	rohan	true	25
Koichi	koichi	true	34
Shigechi	shigechi	true	16
Shizuka Joestar	shizuka-joestar	true	33
Akira	akira	true	21
Kira Yoshikage	kira-yoshikage	true	32
Kira(Kosaku Kawajiri)	kira-kosaku-kawajiri	true	35
Giorno3	giorno3	true	43
Giorno 4	giorno-4	true	28
Giorno_GER	giorno-ger	true	28
Bruno Bucciarati	bruno-bucciarati	true	37
Mista	mista	true	22
Leone Abbacchio	leone-abbacchio	true	28
Pannacotta Fugo	pannacotta-fugo	true	38
Narancia	narancia	true	19
Trish Una	trish-una	true	30
PolnareffPart5	polnareffpart5	true	11
Risotto	risotto	true	28
Cioccolata	cioccolata	true	35
Secco	secco	true	18
Prosciutto	prosciutto	true	24
Pesci	pesci	true	24
Ghiaccio	ghiaccio	true	26
Melone	melone	true	17
Diavolo	diavolo	true	35
Diavolo Requiem	diavolo-requiem	true	35
JotaroPart6	jotaropart6	true	31
JotaroPart6v2	jotaropart6v2	true	31
Jolyne	jolyne	true	42
Jolynev2	jolynev2	true	42
Narciso Anasui	narciso-anasui	true	19
Hermes	hermes	true	22
Weather Report	weather-report	true	25
Pucci	pucci	true	39
Pucciv2	pucciv2	true	39
Johnny_Joestar	johnny-joestar	true	38
Gyro Zeppeli	gyro-zeppeli	true	43
Diego	diego	true	44
Diego Brando AU	diego-brando-au	true	37
Diego Brando AU 3	diego-brando-au-3	true	41
Diego Brando AU 4	diego-brando-au-4	true	41
Funny_Valentine	funny-valentine	true	40
Funny_Valentine 3	funny-valentine-3	true	40
JosukeGappy	josukegappy	true	21
Yoshikage	yoshikage	true	35
SakuyaIzayoi	sakuyaizayoi	true	21
Sakuya	sakuya	true	25
SakuyaIzayoi 1	sakuyaizayoi-1	true	23
The World	the-world	true	27
Star Platinum	star-platinum	true	27
Baoh	baoh	true	26
Tooru	tooru	true	23
